ortho,type,post90,cgram,genre,nombre,infover,lemme
chauve-souris,1,chauvesouris,NOM,f,s,,chauve-souris
chauves-souris,1,chauvesouris,NOM,f,p,,chauve-souris
chaîne,1,chaine,NOM,f,s,,chaîne
chaînes,1,chaines,NOM,f,p,,chaîne
chaînette,1,chainette,NOM,f,s,,chaînette
chaînettes,1,chainettes,NOM,f,p,,chaînette
chaînon,1,chainon,NOM,m,s,,chaînon
chaînons,1,chainons,NOM,m,p,,chaînon
chaîné,1,chainé,VER,m,s,par:pas;,chaîner
chiche-kebab,1,chichekébab,NOM,m,s,,chiche-kebab
ciguë,1,cigüe,NOM,f,s,,ciguë
ciguës,1,cigües,NOM,f,p,,ciguë
ciné-roman,1,cinéroman,NOM,m,s,,ciné-roman
clergymen,1,clergymans,NOM,m,p,,clergyman
cliquettement,1,cliquètement,NOM,m,s,,cliquettement
cliquettent,1,cliquètent,VER,,,ind:pre:3p;,cliqueter
cloche-pied,1,clochepied,NOM,f,s,,cloche-pied
cloîtra,1,cloitra,VER,,,ind:pas:3s;,cloîtrer
cloîtrai,1,cloitrai,VER,,,ind:pas:1s;,cloîtrer
cloîtraient,1,cloitraient,VER,,,ind:imp:3p;,cloîtrer
cloîtrait,1,cloitrait,VER,,,ind:imp:3s;,cloîtrer
cloîtrant,1,cloitrant,VER,,,par:pre;,cloîtrer
cloître,1,cloitre,NOM,m,s,,cloître
cloître,1,cloitre,VER,,,imp:pre:2s;ind:pre:3s;,cloîtrer
cloîtrer,1,cloitrer,VER,,,inf;,cloîtrer
cloîtres,1,cloitres,NOM,m,p,,cloître
cloîtres,1,cloitres,VER,,,ind:pre:2s;,cloîtrer
cloîtrâmes,1,cloitrâmes,VER,,,ind:pas:1p;,cloîtrer
cloîtré,1,cloitré,VER,m,s,par:pas;,cloîtrer
cloîtré,1,cloitré,ADJ,m,s,,cloîtré
cloîtrée,1,cloitrée,VER,f,s,par:pas;,cloîtrer
cloîtrée,1,cloitrée,ADJ,f,s,,cloîtré
cloîtrées,1,cloitrées,VER,f,p,par:pas;,cloîtrer
cloîtrées,1,cloitrées,ADJ,f,p,,cloîtré
cloîtrés,1,cloitrés,VER,m,p,par:pas;,cloîtrer
cloîtrés,1,cloitrés,ADJ,m,p,,cloîtré
coin-coin,1,coincoin,NOM,m,s,,coin-coin
collette,1,collète,VER,,,imp:pre:2s;ind:pre:3s;,colleter
combatif,1,combattif,ADJ,m,s,,combatif
combatifs,1,combattifs,ADJ,m,p,,combatif
combative,1,combattive,ADJ,f,s,,combatif
combativité,1,combattivité,NOM,f,s,,combativité
comparaît,1,comparait,VER,,,ind:pre:3s;,comparaître
comparaîtra,1,comparaitra,VER,,,ind:fut:3s;,comparaître
comparaîtrait,1,comparaitrait,VER,,,cnd:pre:3s;,comparaître
comparaître,1,comparaitre,VER,,,inf;,comparaître
comparaîtrez,1,comparaitrez,VER,,,ind:fut:2p;,comparaître
comparaîtrons,1,comparaitrons,VER,,,ind:fut:1p;,comparaître
complaît,1,complait,VER,,,ind:pre:3s;,complaire
complétera,1,complètera,VER,,,ind:fut:3s;,compléter
compléterai,1,complèterai,VER,,,ind:fut:1s;,compléter
compléteraient,1,complèteraient,VER,,,cnd:pre:3p;,compléter
compléterait,1,complèterait,VER,,,cnd:pre:3s;,compléter
