#ligne,Grafie initiale,Lème,Catégorie,Raison,Grafie modifiée
433,aïeux,aïeul,n.m.pl.,2,aïeus
434,aiglette,aiglette,n.f.,1,aiglète
435,aigrelette,aigrelette,adj.,1,aigrelète
436,aigrette,aigrette,n.f.,1,aigrète
437,aigretté,aigretté,adj.,1,aigrété
437,aigrettée,aigretté,adj.,1,aigrétée
438,aiguillette,aiguilleter,v.tr.,1,aiguillète
439,aiguillette,aiguillette,n.f.,1,aiguillète
440,aiguillonner,aiguillonner,v.tr.,1,aiguilloner
441,ailette,ailette,n.f.,1,ailète
442,airelle,airelle,n.f.,1,airèle
443,aisseaux,aisseau,n.m.pl.,2,aisseaus
444,aisselle,aisselle,n.f.,1,aissèle
445,akathisie,akathisie,n.f.,3,akatisie
446,akkadienne,akkadien,adj.f.,1,akkadiène
447,albumineux,albumineux,adj.m.sg.pl.,2,albumineus
448,alcalinoterreux,alcalinoterreux,adj.,1 2,alcalinotéreus
448,alcalinoterreuse,alcalinoterreux,adj.,1,alcalinotéreuse
449,alchémille,alchémille,n.f.,3,alquémille
450,alcyne,alcyne,n.m.,3,alcine
451,alcyon,alcyon,n.m.,3,alcion
452,alcyonaires,alcyonaires,n.m.pl.,3,alcionaires
453,aldéhyde,aldéhyde,n.m.,3,aldéide
454,aldéhydique,aldéhydique,adj.,3,aldéidique
455,aleph,aleph,n.m.,3,alef
456,aléthique,aléthique,adj.,3,alétique
457,algazelle,algazelle,n.f.,1,algazèle
458,algodystrophie,algodystrophie,n.f.,3,algodistrofie
459,algorithme,algorithme,n.m.,3’,algoritme
460,algorithmique,algorithmique,adj.,3’,algoritmique
460,algorithmique,algorithmique,n.f.,3’,algoritmique
461,algothérapie,algothérapie,n.f.,3,algotérapie
462,alicyclique,alicyclique,adj.,3,aliciclique
463,aliphatique,aliphatique,adj.,3,alifatique
464,alkyle,alkyle,n.m.,3,alkile
465,allaitant,allaitant,adj.,1,alaitant
465,allaitante,allaitant,adj.,1,alaitante
